exp,pot,pot,block,bench,row,col,genotype,density,5E_soil_trts,descriptor,Leaf_Ln_cm,data_type,pot_density,time_point,raw_avg_lf_11.03.17,lf_1_03.24_no_germ,lf_2_03.24_no_germ
Validation Exp.,29,A29,2,2,4,8,FPsc,CR,Live,raw_avg_lf_11.07.17,4.8,NA,NA,NA,2.683333333,NA,NA
Validation Exp.,42,A42,3,2,3,11,FPsc,CR,Live,raw_avg_lf_11.07.17,4.983333333,NA,NA,NA,3.183333333,NA,NA
Validation Exp.,44,A44,3,2,1,11,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.433333333,NA,NA,NA,2.85,NA,NA
Validation Exp.,54,A54,3,2,3,14,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.933333333,NA,NA,NA,2.966666667,NA,NA
Validation Exp.,56,A56,3,2,1,14,FPsc,CR,Live,raw_avg_lf_11.07.17,5.133333333,NA,NA,NA,3.316666667,NA,NA
Validation Exp.,62,A62,4,2,6,1,FPsc,CR,Live,raw_avg_lf_11.07.17,4.4,NA,NA,NA,3.066666667,NA,NA
Validation Exp.,65,A65,4,2,5,2,FPsc,CR,Live,raw_avg_lf_11.07.17,3.9,NA,NA,NA,2.716666667,NA,NA
Validation Exp.,77,A77,4,2,5,5,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.15,NA,NA,NA,2.75,NA,NA
Validation Exp.,79,A79,4,2,7,5,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.4,NA,NA,NA,2.55,NA,NA
Validation Exp.,83,A83,5,2,7,6,FPsc,CR,Live,raw_avg_lf_11.07.17,4.65,NA,NA,NA,2.616666667,NA,NA
Validation Exp.,88,A88,5,2,8,7,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.416666667,NA,NA,NA,2.516666667,NA,NA
Validation Exp.,91,A91,5,2,7,8,FPsc,CR,Live,raw_avg_lf_11.07.17,4.7,NA,NA,NA,3.05,NA,NA
Validation Exp.,95,A95,5,2,7,9,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.475,NA,NA,NA,2.7,NA,NA
Validation Exp.,104,A104,6,2,8,11,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.616666667,NA,NA,NA,2.816666667,NA,NA
Validation Exp.,109,A109,6,2,5,13,FPsc,CR,Live,raw_avg_lf_11.07.17,4.833333333,NA,NA,NA,3.1,NA,NA
Validation Exp.,119,A119,6,2,7,15,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.266666667,NA,NA,NA,2.566666667,NA,NA
Validation Exp.,120,A120,6,2,8,15,FPsc,CR,Live,raw_avg_lf_11.07.17,5.116666667,NA,NA,NA,3.116666667,NA,NA
